Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
Aditya Birla SL Pure Value Fund(G),Equity : Value / Contra,Kunal Sangoi,Open Ended,NIFTY 500 NA TRI,5791.1,1.9,116.29,8.43,17.2,25.92,12.31,53.0,65793,3.105,2.595,7.065,0.14,0.21,0.38,1.11,17.17,17
Aditya Birla SL Quant FundNAReg(G),Equity : Thematic,Harish krishnan,Open Ended,NIFTY 200 NA TRI,2367.1,1.99,9.07,8.43,12.555,15.835,10.335,20.84,154793,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Regular Savings Fund(G),Hybrid : Debt Oriented (Conservative),Mohit Sharma,Open Ended,CRISIL Hybrid 85+15 NA Conservative Index,1377.2,1.92,65.51,10.29,8.63,12.53,8.53,144.0,284486,8.07,4.79,7.44,0.15,0.29,0.61,1.02,3.93,20
Aditya Birla SL Retirement FundNA30NAReg(G),Hybrid : Solution Oriented,Jonas Bhutta,Open Ended,NIFTY 500 NA TRI,370.6,2.41,18.32,6.18,13.03,15.18,10.335,90.0,84218,3.105,2.595,7.065,0.15,0.16,0.31,0.92,13.84,6
Aditya Birla SL Retirement FundNA40NAReg(G),Hybrid : Solution Oriented,Chanchal Khandelwal,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,109.5,2.38,18.09,10.04,12.78,13.84,10.335,30.0,163611,9.02,4.5,6.73,0.15,0.2,0.39,1.07,10.9,6
Aditya Birla SL Retirement FundNA50 PlusNADebt PlanNAReg(G),Hybrid : Solution Oriented,Harshil Suvarnkar,Open Ended,CRISIL Short Term Bond Index,17.3,2.07,13.12,7.33,5.25,4.21,10.335,0.0,160311,6.26,3.29,6.68,0.15,0.19,0.3,1.26,1.63,6
Aditya Birla SL Retirement FundNA50NAReg(G),Hybrid : Solution Oriented,Mohit Sharma,Open Ended,CRISIL Short Term Debt Hybrid 75+25 Index,25.7,1.93,14.25,7.96,7.86,5.64,10.335,12.0,214857,3.48,2.66,6.67,0.15,0.23,0.45,0.97,4.11,6
Aditya Birla SL Savings FundNAReg(G),Debt : Ultra Short Duration,Kaustubh Gupta,Open Ended,NIFTY Ultra Short Duration Debt Index,13293.7,0.55,541.87,7.97,7.04,6.34,7.17,0.0,160311,0.66,0.57,7.75,0.13,1.59,0.99,0.55,0.53,21
Aditya Birla SL Short Term Fund(G),Debt : Short Duration,Kaustubh Gupta,Open Ended,Nifty Short Duration Debt Index,8068.0,0.94,47.18,9.36,7.2,7.32,7.43,0.0,160311,3.67,2.77,7.49,0.04,0.77,1.07,1.1,1.13,21
Aditya Birla SL Silver ETF,Gold : ETFs,Sachin Wankhede,Open Ended,Silver,610.2,0.35,94.98,19.32,12.32,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.62,0.12,0.24,0.28,22.26,3
Aditya Birla SL Silver ETF FOFNAReg(G),FoFs : Domestic,Priya Sridhar,Open Ended,Silver,207.7,0.67,14.86,18.45,11.85,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.3,0.12,0.25,1.35,19.69,3
Aditya Birla SL Small Cap Fund(G),Equity : Small Cap,Abhinav Khandelwal,Open Ended,BSE 250 Small Cap NA TRI,4416.3,1.94,77.38,0.03,14.46,27.81,12.86,39.0,14772,3.105,2.595,7.065,0.15,0.16,0.28,0.88,18.24,17
Aditya Birla SL Special Opp FundNAReg(G),Equity : Thematic,Dhaval Gala,Open Ended,BSE 500 NA TRI,729.8,2.42,23.0,7.98,15.39,15.835,10.335,28.0,109272,3.105,2.595,7.065,0.15,0.19,0.35,1.0,14.95,4
Aditya Birla SL Transportation and Logistics FundNAReg(G),Equity : Sectoral NA Auto,Dhaval Gala,Open Ended,Nifty Transportation & Logistics NA TRI,1343.8,2.17,12.44,8.43,12.555,15.835,10.335,20.84,88485,3.105,2.595,7.065,0.15,0.16,0.26,0.99,18.11,1
Aditya Birla SL US Treasury 1NA3 year Bond ETFs FoFNAReg(G),Debt : ETFs,Vighnesh Gupta,Open Ended,Bloomberg US Treasury 1NA3 Year Index,87.2,0.23,11.08,8.43,12.555,15.835,10.335,0.0,160311,1.95,1.86,3.95,0.56,0.36,0.8,0.94,2.71,1
Aditya Birla SL US Treasury 3NA10 year Bond ETFs FoFNAReg(G),Debt : ETFs,Vighnesh Gupta,Open Ended,Bloomberg US Treasury 3NA10 Year Index,182.2,0.2,11.34,10.29,12.555,15.835,10.335,0.0,160311,5.69,4.99,4.01,0.31,0.24,0.54,0.09,5.03,1
Angel One Nifty 1D Rate Liquid ETF(G),Debt : ETFs,Mehul Dama,Open Ended,Nifty 1D Rate Index,26.2,0.27,1005.82,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Angel One Nifty Total Market ETF,Equity : ETFs,Mehul Dama,Open Ended,Nifty Total Market NA TRI,16.7,0.28,11.06,8.43,12.555,15.835,10.335,20.84,191636,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Angel One Nifty Total Market Index FundNAReg(G),Equity : Index Funds,Mehul Dama,Open Ended,Nifty Total Market NA TRI,31.1,1.03,11.05,8.43,12.555,15.835,10.335,20.84,191681,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,Jayesh Sundar,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,1521.0,2.16,19.82,10.88,9.86,15.26,10.335,0.0,234985,13.16,5.8,7.78,0.15,0.12,0.23,1.12,11.29,6
Axis Arbitrage FundNAReg(G),Hybrid : Arbitrage,Karthik Kumar,Open Ended,Nifty 50 Arbitrage,5746.0,0.97,18.52,7.29,6.55,5.36,5.75,0.0,210479,0.75,0.73,7.16,0.04,1.18,0.95,0.64,0.58,10
Axis Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Jayesh Sundar,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,2807.8,1.98,20.58,13.12,14.14,13.9,10.335,0.0,356297,13.67,5.73,7.25,0.33,0.31,0.69,0.61,8.26,7
Axis Banking & PSU Debt FundNAReg(G),Debt : Banking & PSU,Aditya Pagaria,Open Ended,NIFTY Banking and PSU Debt Index,12961.5,0.63,2613.47,9.03,6.8,6.38,7.35,0.0,160311,3.7,2.81,7.19,0.11,0.68,0.95,0.28,1.1,12
Axis Bluechip FundNAReg(G),Equity : Large Cap,Shreyash Devalkar,Open Ended,BSE 100 NA TRI,32349.4,1.58,58.88,7.41,11.0,15.87,12.08,71.0,454318,3.105,2.595,7.065,0.15,0.12,0.22,0.95,13.42,15
Axis BSE Sensex ETF,Equity : ETFs,Karthik Kumar,Open Ended,BSE SENSEX NA TRI,125.2,0.04,81.82,8.71,12.555,15.835,10.335,20.84,670458,3.105,2.595,7.065,0.15,0.29,0.62,1.0,11.19,2
Axis BSE Sensex Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,BSE SENSEX NA TRI,46.7,0.7,11.02,7.98,12.555,15.835,10.335,20.84,670697,3.105,2.595,7.065,0.15,0.06,0.11,1.0,11.5,1
Axis Business Cycles FundNAReg(G),Equity : Thematic,Ashish Naik,Open Ended,NIFTY 500 NA TRI,2295.4,2.02,15.41,5.02,12.555,15.835,10.335,89.0,153240,3.105,2.595,7.065,0.05,0.37,0.67,1.0,13.48,2
Axis Childrens FundNACompulsory Lock inNAReg(G),Hybrid : Solution Oriented,Jayesh Sundar,Open Ended,NIFTY 50 Hybrid Composite Debt 65:35 Index,865.0,2.31,25.14,11.75,8.62,14.81,10.335,0.0,226532,17.25,7.6,7.02,0.15,0.09,0.16,0.8,11.11,9
Axis Childrens FundNANo Lock inNAReg(G),Hybrid : Solution Oriented,Jayesh Sundar,Open Ended,NIFTY 50 Hybrid Composite Debt 65:35 Index,865.0,2.31,25.13,11.75,8.62,14.81,10.335,0.0,226532,17.25,7.6,7.02,0.15,0.09,0.16,0.8,11.11,9
Axis Conservative Hybrid FundNAReg(G),Hybrid : Debt Oriented (Conservative),Devang Shah,Open Ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,272.2,2.18,29.8,10.23,7.24,9.12,7.02,0.0,377534,13.4,6.53,7.5,0.15,0.18,0.36,0.95,4.19,14
Axis Consumption FundNAReg(G),Equity : Thematic NA Consumption,Shreyash Devalkar,Open Ended,Nifty India Consumption NA TRI,3961.6,1.85,9.09,8.43,12.555,15.835,10.335,20.84,170481,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Corp Bond FundNAReg(G),Debt : Corporate Bond,Devang Shah,Open Ended,NIFTY Corporate Bond Index,6202.8,0.91,16.94,9.85,7.23,7.09,10.335,0.0,160311,4.95,3.67,7.21,0.11,0.66,1.03,0.37,1.3,7
Axis Credit Risk FundNAReg(G),Debt : Credit Risk,Devang Shah,Open Ended,CRISIL Credit Risk Debt Index,360.2,1.58,21.16,9.03,7.11,7.15,6.87,0.0,160311,3.09,2.16,8.41,0.13,0.75,0.95,0.3,1.11,10
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Hardik Shah,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA June 2028,75.8,0.37,11.97,10.02,12.555,15.835,10.335,0.0,160311,2.92,2.5,6.76,0.08,0.91,1.37,0.7,1.31,2
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Aditya Pagaria,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA September 2027,32.8,0.4,11.91,9.29,12.555,15.835,10.335,0.0,160311,2.18,1.96,6.7,0.12,1.08,1.3,0.54,1.08,2
Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index FundNAReg(G),Debt : Medium Duration,Devang Shah,Open Ended,CRISIL IBX 70:30 CPSE Plus SDL NA April 2025,457.3,0.29,11.95,7.17,6.13,15.835,10.335,0.0,160311,0.04,0.04,6.86,0.03,0.36,0.48,0.35,1.56,3
Axis CRISIL IBX SDL June 2034 Debt Index FundNAReg(G),Debt : Long Duration,Hardik Shah,Open Ended,CRISIL IBX SDL Index NA June 2034,16.9,0.45,11.29,12.63,12.555,15.835,10.335,0.0,160311,8.63,6.06,7.06,0.04,0.82,1.71,0.88,2.4,1
Axis CRISIL IBX SDL May 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Hardik Shah,Open Ended,CRISIL IBX SDL Index NA May 2027,2224.7,0.29,12.14,9.31,7.26,15.835,10.335,0.0,160311,2.01,1.81,6.86,0.02,0.37,0.54,0.57,2.13,3
Axis CRISILNAIBX AAA Bond Financial Services NA Sep 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Aditya Pagaria,Open Ended,CRISIL IBX AAA Financial Services Index NA Sep 2027,112.5,0.25,10.43,8.43,12.555,15.835,10.335,0.0,160311,2.25,1.91,7.46,0.15,0.28,0.55,0.94,12.62,0
Axis CRISILNAIBX AAA Bond NBFC NA Jun 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Aditya Pagaria,Open Ended,CRISIL IBX AAA NBFC Index NA Jun 2027,733.5,0.48,10.54,8.43,12.555,15.835,10.335,0.0,160311,2.0,1.71,7.66,0.15,0.28,0.55,0.94,12.62,0
Axis CRISILNAIBX AAA Bond NBFCNAHFC NA Jun 2027 Index FundNAReg(G),Debt : Short Duration,Aditya Pagaria,Open Ended,CRISILNAIBX AAA NBFCNAHFC Index NA Jun 2027,45.8,0.3,10.35,8.43,12.555,15.835,10.335,0.0,160311,1.91,1.62,7.42,0.15,0.28,0.55,0.94,12.62,0
Axis Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Devang Shah,Open Ended,NIFTY Composite Debt Index,1355.5,0.63,29.65,11.03,7.63,6.83,7.58,0.0,160311,18.36,8.17,7.01,0.15,0.36,0.69,0.77,2.65,13
Axis ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Shreyash Devalkar,Open Ended,NIFTY 500 NA TRI,34176.5,1.53,92.81,8.12,11.24,16.8,11.99,46.0,251534,3.105,2.595,7.065,0.15,0.11,0.21,0.99,15.71,15
Axis Equity ETFs FoFNAReg(G),Equity : ETFs,Karthik Kumar,Open Ended,NIFTY 500 NA TRI,28.2,0.7,14.34,8.43,11.8,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.14,0.25,0.96,14.31,3
Axis Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Mayank Hyanki,Open Ended,NIFTY 50 Equity Savings Index,940.1,2.26,21.74,7.73,9.79,11.5,10.335,0.0,354604,16.62,6.4,7.25,0.15,0.24,0.49,1.08,5.97,9
Axis ESG Integration Strategy FundNAReg(G),Equity : Thematic,Vishal Agarwal,Open Ended,NIFTY100 ESG NA TRI,1213.8,2.23,20.65,6.17,11.53,16.45,10.335,37.0,324121,3.105,2.595,7.065,0.15,0.12,0.21,0.92,14.24,5
Axis Flexi Cap FundNAReg(G),Equity : Flexi Cap,Sachin Relekar,Open Ended,NIFTY 500 NA TRI,12039.8,1.73,25.06,9.26,12.16,17.42,10.335,22.0,215221,0.67,2.595,7.065,0.15,0.13,0.24,0.99,15.17,7
Axis Floater FundNAReg(G),Debt : Floater,Aditya Pagaria,Open Ended,NIFTY Long Duration Debt Index,166.2,0.53,1302.32,12.28,8.2,15.835,10.335,0.0,160311,17.27,7.55,7.53,0.08,0.6,1.33,1.09,1.93,3
Axis Focused FundNAReg(G),Equity : Multi Cap,Sachin Relekar,Open Ended,NIFTY 500 NA TRI,12346.5,1.74,52.69,6.78,7.92,15.16,12.01,40.0,302367,3.105,2.595,7.065,0.15,0.06,0.1,1.0,15.88,12
Axis Gilt FundNAReg(G),Debt : Gilt,Devang Shah,Open Ended,CRISIL Dynamic Gilt Index,868.5,0.8,25.83,12.82,8.31,6.55,7.54,0.0,160311,25.13,10.21,7.0,0.09,0.48,1.27,0.66,2.42,13
Axis Gold ETF,Gold : ETFs,Aditya Pagaria,Open Ended,GoldNAIndia,1553.2,0.56,79.12,31.38,20.62,14.1,12.12,6.0,160311,3.105,2.595,7.065,0.81,0.34,0.84,1.41,12.27,14
Axis Gold FundNAReg(G),Gold : MFs,Aditya Pagaria,Open Ended,GoldNAIndia,944.5,0.5,27.8,29.7,20.37,12.94,11.66,20.84,160311,3.105,2.595,7.065,0.88,0.36,0.94,1.16,11.71,13
Axis Growth Opp FundNAReg(G),Equity : Large & Mid Cap,Shreyash Devalkar,Open Ended,NIFTY LargeMidcap 250 NA TRI,13321.5,1.7,30.6,7.41,14.95,24.08,10.335,59.0,158068,3.105,2.595,7.065,0.15,0.18,0.32,0.95,15.63,6
Axis Income Advantage FOFsNAReg(G),FoFs : Domestic,Devang Shah,Open Ended,NIFTY Composite Debt Index,151.5,0.48,14.31,10.8,7.52,7.17,10.335,20.84,160311,3.105,2.595,7.065,0.06,0.51,1.07,0.76,1.89,5
Axis India Manufacturing FundNAReg(G),Equity : Thematic,Shreyash Devalkar,Open Ended,Nifty India Manufacturing NA TRI,5297.8,1.82,12.81,6.19,12.555,15.835,10.335,52.0,118688,3.105,2.595,7.065,0.1,0.22,0.39,1.05,18.02,1
Axis Innovation FundNAReg(G),Equity : Thematic,Ashish Naik,Open Ended,NIFTY 500 NA TRI,1091.2,2.27,17.23,6.95,12.4,15.835,10.335,35.0,104047,3.105,2.595,7.065,0.15,0.13,0.22,0.93,15.08,4
Axis Liquid FundNAReg(G),Debt : Liquid,Devang Shah,Open Ended,Nifty Liquid Fund Index,32608.9,0.17,2876.75,7.31,6.86,5.47,6.31,0.0,160311,0.18,0.18,7.08,0.2,2.48,0.98,0.07,0.31,15
Axis Long Duration FundNAReg(G),Debt : Long Duration,Devang Shah,Open Ended,NIFTY Long Duration Debt Index,392.5,0.76,1252.19,13.18,12.555,15.835,10.335,0.0,160311,32.98,12.07,7.02,0.15,0.46,1.1,2.04,3.61,2
Axis Midcap FundNAReg(G),Equity : Mid Cap,Shreyash Devalkar,Open Ended,BSE 150 MidCap NA TRI,28063.0,1.58,103.76,9.62,16.27,23.48,15.5,41.0,66883,3.105,2.595,7.065,0.15,0.2,0.38,0.89,15.97,14
Axis Momentum FundNAReg(G),Equity : Thematic,Karthik Kumar,Open Ended,NIFTY 500 NA TRI,1234.2,2.12,8.7,8.43,12.555,15.835,10.335,20.84,121539,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Money Market FundNAReg(G),Debt : Money Market,Devang Shah,Open Ended,Nifty Money Market Index,14611.1,0.32,1415.98,8.05,7.16,6.11,10.335,0.0,160311,0.84,0.84,7.24,0.2,1.57,0.99,0.16,0.55,5
Axis Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Ashish Naik,Open Ended,NIFTY 500 NA TRI,1348.3,2.07,38.38,10.18,9.31,14.56,9.81,0.0,238157,14.76,5.92,7.38,0.15,0.12,0.21,0.69,10.58,14
Axis Multicap FundNAReg(G),Equity : Multi Cap,Shreyash Devalkar,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,6979.5,1.82,16.49,11.94,20.44,15.835,10.335,52.0,101641,3.105,2.595,7.065,0.3,0.27,0.51,0.96,15.68,3
Axis Nifty 100 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY 100 NA TRI,1715.4,0.92,21.04,6.28,12.62,19.86,10.335,20.84,427171,3.105,2.595,7.065,0.15,0.15,0.3,1.0,13.8,5
Axis NIFTY 50 ETF,Equity : ETFs,Karthik Kumar,Open Ended,NIFTY 50 NA TRI,688.8,0.04,264.73,8.72,13.72,21.06,10.335,20.84,542206,3.105,2.595,7.065,0.15,0.18,0.37,1.0,12.98,7
Axis Nifty 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY 50 NA TRI,648.6,0.42,14.42,8.24,13.22,15.835,10.335,20.84,541783,3.105,2.595,7.065,0.15,0.17,0.35,0.99,12.95,3
Axis Nifty 500 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY 500 NA TRI,240.8,1.0,9.5,8.43,12.555,15.835,10.335,20.84,218359,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Nifty AAA Bond Financial Services NA Mar 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Hardik Shah,Open Ended,Nifty AAA Financial Services Bond Mar 2028 Index,756.8,1.04,27.62,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Debt : ETFs,Aditya Pagaria,Open Ended,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,1113.8,0.1,12.62,8.03,6.61,15.835,10.335,0.0,160311,0.63,0.59,7.0,0.03,0.37,0.5,0.45,1.81,3
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoFNAReg(G),Debt : Medium to Long Duration,Aditya Pagaria,Open Ended,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,275.7,0.19,12.07,7.72,6.12,15.835,10.335,20.84,160311,3.62,3.07,6.02,0.15,0.23,0.35,0.4,2.02,3
Axis NIFTY Bank ETF,Equity : ETFs,Karthik Kumar,Open Ended,NIFTY BANK NA TRI,334.9,0.19,562.62,12.87,15.84,15.835,10.335,20.84,503928,3.105,2.595,7.065,0.15,0.17,0.36,1.0,15.63,4
Axis Nifty Bank Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY BANK NA TRI,132.8,1.0,11.18,8.43,12.555,15.835,10.335,20.84,504282,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis NIFTY Healthcare ETF,Equity : ETFs,Karthik Kumar,Open Ended,Nifty Healthcare Index NA TRI,18.8,0.34,142.5,16.41,19.05,15.835,10.335,20.84,116455,3.105,2.595,7.065,0.15,0.25,0.5,1.0,16.02,3
Axis NIFTY India Consumption ETF,Equity : ETFs,Karthik Kumar,Open Ended,Nifty India Consumption NA TRI,13.2,0.38,115.55,9.87,17.54,15.835,10.335,20.84,255434,3.105,2.595,7.065,0.15,0.26,0.51,1.0,14.78,3
Axis NIFTY IT ETF,Equity : ETFs,Karthik Kumar,Open Ended,NIFTY IT NA TRI,173.7,0.23,383.77,9.13,6.11,15.835,10.335,20.84,376525,3.105,2.595,7.065,0.15,0.02,0.04,1.0,21.45,4
Axis NIFTY IT Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY IT NA TRI,125.7,1.03,12.12,8.14,12.555,15.835,10.335,20.84,376673,3.105,2.595,7.065,0.15,0.12,0.23,0.99,21.38,1
Axis Nifty Midcap 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,Nifty Midcap 50 NA TRI,396.0,1.03,18.14,8.36,22.51,15.835,10.335,20.84,65759,3.105,2.595,7.065,0.15,0.28,0.52,0.99,17.48,3
Axis Nifty Next 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY NEXT 50 NA TRI,306.4,1.01,15.53,0.2,14.65,15.835,10.335,20.84,134111,3.105,2.595,7.065,0.15,0.16,0.29,0.99,19.85,3
Axis Nifty SDL Sep 2026 Debt Index FundNAReg(G),Debt : Medium Duration,Aditya Pagaria,Open Ended,Nifty SDL Sep 2026 Index,75.7,0.32,11.98,8.62,12.555,15.835,10.335,0.0,160311,1.38,1.28,6.77,0.16,1.08,1.17,0.28,0.92,2
Axis Nifty Smallcap 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,Nifty Smallcap 50 NA TRI,430.8,1.02,16.45,1.93,17.78,15.835,10.335,20.84,20830,3.105,2.595,7.065,0.15,0.17,0.3,0.98,22.04,3
Axis Nifty500 Momentum 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,Nifty500 Momentum 50 NA TRI,53.0,1.06,10.28,8.43,12.555,15.835,10.335,20.84,77317,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Nifty500 Value 50 ETF,Equity : ETFs,Karthik Kumar,Open Ended,NIFTY500 Value 50 NA TRI,9.6,0.25,27.07,8.43,12.555,15.835,10.335,20.84,127042,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Nifty500 Value 50 Index FundNAReg(G),Equity : Index Funds,Karthik Kumar,Open Ended,NIFTY500 Value 50 NA TRI,83.5,1.06,9.41,8.43,12.555,15.835,10.335,20.84,127017,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Axis Overnight FundNAReg(G),Debt : Overnight,Sachin Jain,Open Ended,Nifty 1D Rate Index,6348.0,0.09,1353.29,6.58,6.34,5.06,10.335,0.0,160311,0.01,0.01,7.25,0.01,2.87,0.92,0.91,0.22,6
Axis Quant FundNAReg(G),Equity : Thematic,Karthik Kumar,Open Ended,BSE 200 NA TRI,940.5,2.23,15.15,8.43,12.87,15.835,10.335,140.0,181790,3.105,2.595,7.065,0.15,0.14,0.25,0.99,14.94,3
Axis Retirement FundNAAggressive PlanNAReg(G),Hybrid : Solution Oriented,Jayesh Sundar,Open Ended,CRISIL Hybrid 25+75 NA Aggressive Index,799.6,2.3,17.98,9.73,12.15,14.58,10.335,0.0,218785,24.4,9.51,6.97,0.02,0.17,0.3,0.84,12.08,5
Axis Retirement FundNAConservative PlanNAReg(G),Hybrid : Solution Oriented,Jayesh Sundar,Open Ended,CRISIL Hybrid 75+25 NA Conservative Index,61.6,2.16,15.89,9.15,8.62,10.01,10.335,0.0,373779,23.18,10.1,6.91,0.15,0.18,0.36,1.28,6.16,5
Axis Retirement FundNADynamic PlanNAReg(G),Hybrid : Solution Oriented,Jayesh Sundar,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,325.5,2.43,18.95,9.44,13.27,14.9,10.335,0.0,182077,22.01,8.63,6.92,0.15,0.19,0.35,1.19,12.54,5
Axis Short Duration FundNAReg(G),Debt : Short Duration,Devang Shah,Open Ended,Nifty Short Duration Debt Index,9024.4,0.89,30.63,9.52,7.12,6.64,7.26,0.0,160311,3.64,2.76,7.48,0.12,0.7,1.01,0.34,1.19,15
Axis Silver ETF,Gold : ETFs,Aditya Pagaria,Open Ended,Silver,183.9,0.37,94.79,19.97,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.47,0.25,0.55,0.11,21.22,2
Axis Silver FoFNAReg(G),Gold : MFs,Aditya Pagaria,Open Ended,Silver,80.7,0.71,16.45,19.04,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.95,0.27,0.6,1.34,19.05,2
Axis Small Cap FundNAReg(G),Equity : Small Cap,Tejas Sheth,Open Ended,Nifty Smallcap 250 NA TRI,22735.7,1.62,97.21,8.83,16.91,29.28,17.97,36.0,19992,3.105,2.595,7.065,0.19,0.23,0.42,0.72,15.37,11
Axis Strategic Bond FundNAReg(G),Debt : Medium Duration,Devang Shah,Open Ended,NIFTY Medium Duration Debt Index,1898.6,1.14,27.77,10.14,7.67,7.43,7.6,0.0,160311,5.14,3.43,8.03,0.12,0.68,1.1,0.44,1.46,13
Axis Treasury Advantage FundNAReg(G),Debt : Low Duration,Devang Shah,Open Ended,NIFTY Low Duration Debt Index,5830.1,0.65,3059.45,8.1,6.92,6.21,6.95,0.0,160311,1.31,0.93,7.57,0.16,1.22,0.94,0.22,0.65,15
Axis Ultra Short Duration FundNAReg(G),Debt : Ultra Short Duration,Sachin Jain,Open Ended,NIFTY Ultra Short Duration Debt Index,4800.7,1.17,14.57,7.15,6.36,5.4,10.335,0.0,160311,0.52,0.49,7.82,0.14,1.32,0.85,0.15,0.49,6
Axis Value FundNAReg(G),Equity : Value / Contra,Nitin Arora,Open Ended,NIFTY 500 NA TRI,815.7,2.31,17.35,10.81,21.1,15.835,10.335,54.0,183296,3.105,2.595,7.065,0.43,0.29,0.56,1.02,15.37,3
Bajaj Finserv Arbitrage FundNAReg(G),Hybrid : Arbitrage,Ilesh Savla,Open Ended,Nifty 50 Arbitrage,898.0,0.97,11.13,6.77,12.555,15.835,10.335,0.0,274037,0.16,0.15,6.99,0.08,1.76,0.93,0.46,0.43,1
Bajaj Finserv Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Nimesh Chandan,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,1230.8,2.08,11.02,3.5,12.555,15.835,10.335,381.0,393602,12.6,6.1,7.03,0.15,0.06,0.1,0.71,8.09,1
Bajaj Finserv Banking and PSU FundNAReg(G),Debt : Banking & PSU,Siddharth Chaudhary,Open Ended,NIFTY Banking and PSU Debt Index,112.9,0.89,11.33,9.61,12.555,15.835,10.335,0.0,160311,4.0,3.3,7.11,0.07,1.04,1.34,0.53,1.25,1
Bajaj Finserv Consumption FundNAReg(G),Equity : Thematic NA Consumption,Nimesh Chandan,Open Ended,Nifty India Consumption NA TRI,507.4,2.34,9.27,8.43,12.555,15.835,10.335,20.84,66631,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Bajaj Finserv ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Nimesh Chandan,Open Ended,BSE 500 NA TRI,44.3,2.25,10.76,8.43,12.555,15.835,10.335,20.84,205108,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
